"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P1: Western Cape","I0309: Electrical machinery and apparatus [QSIC 36]",5867.895,1569.417
"R millions current prices","2019","P1: Western Cape","I030929: Electrical machinery [QSIC 361-366]",5867.895,1569.417
"R millions current prices","2019","P1: Western Cape","I0310: Radio, TV, instruments, watches and clocks [QSIC 37]",4565.49,1152.86
"R millions current prices","2019","P1: Western Cape","I031030: Radio, television and communication apparatus [QSIC 371-373]",2378.139,166.537
"R millions current prices","2019","P1: Western Cape","I031031: Professional equipment [QSIC 374-376]",2187.351,986.323
"R millions current prices","2019","P1: Western Cape","I0311: Transport equipment [QSIC 38]",35611.826,7252.856
"R millions current prices","2019","P1: Western Cape","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",30208.728,5205.738
"R millions current prices","2019","P1: Western Cape","I031133: Other transport equipment [QSIC 384-387]",5403.098,2047.118
"R millions current prices","2019","P1: Western Cape","I0312: Furniture; other manufacturing [QSIC 39]",39821.441,11607.418
"R millions current prices","2019","P1: Western Cape","I031234: Furniture [QSIC 391]",2611.546,629.196
"R millions current prices","2019","P1: Western Cape","I031235: Other manufacturing groups [QSIC 392, 395]",37209.895,10978.222
"R millions current prices","2019","P1: Western Cape","I04: Electricity, gas and water [QSIC 4]",40652.67,17807.86
"R millions current prices","2019","P1: Western Cape","I0413: Electricity, gas and water [QSIC 4]",40652.67,17807.86
"R millions current prices","2019","P1: Western Cape","I041336: Electricity and gas [QSIC 41]",35145.0,14624.965
"R millions current prices","2019","P1: Western Cape","I041337: Water [QSIC 42]",5507.67,3182.895
"R millions current prices","2019","P1: Western Cape","I05: Construction [QSIC 5]",96317.106,33125.075
"R millions current prices","2019","P1: Western Cape","I0514: Construction [QSIC 5]",96317.106,33125.075
"R millions current prices","2019","P1: Western Cape","I051438: Construction [QSIC 5]",96317.106,33125.075
"R millions current prices","2019","P1: Western Cape","I3: Tertiary sector [SIC: 6-9, 0]",947151.593,518590.172
"R millions current prices","2019","P1: Western Cape","I06: Wholesale and retail trade, catering and accommodation [QSIC 6]",186768.067,106947.117
"R millions current prices","2019","P1: Western Cape","I0615: Wholesale and retail trade [QSIC 61-63]",159092.967,95640.799
