"Input","","","Intermediate Input: Agriculture [QSIC 11]","Intermediate Input: Forestry [QSIC 12]","Intermediate Input: Fishing [QSIC 13]","Intermediate Input: Coal [QSIC 21]","Intermediate Input: Gold [QSIC 23]","Intermediate Input: Metals [QSIC 24]","Intermediate Input: Other mining and quarrying [22, 25-29]","Intermediate Input: Food [QSIC 301-304]","Intermediate Input: Beverages and tobacco [QSIC 305-306]","Intermediate Input: Textiles [QSIC 311-312]","Intermediate Input: Wearing apparel [QSIC 313-314]","Intermediate Input: Leather and leather and fur products [QSIC 315-316]","Intermediate Input: Footwear [QSIC 317]","Intermediate Input: Wood and wood products [QSIC 321-322]","Intermediate Input: Paper and paper products [QSIC 323]","Intermediate Input: Printing , recorded media [QSIC 324-326]","Intermediate Input: Coke, petroleum products and nuclear fuel [QSIC 331-333]","Intermediate Input: Basic chemicals [QSIC 334]","Intermediate Input: Other chemical products [QSIC 335-336]","Intermediate Input: Rubber products [QSIC 337]","Intermediate Input: Plastic products [QSIC 338]","Intermediate Input: Glass and glass products [QSIC 341]","Intermediate Input: Non-metallic mineral products [QSIC 342]","Intermediate Input: Basic iron and steel products; casting of metal [QSIC 351, 353]","Intermediate Input: Non-ferrous metal products [QSIC 352]","Intermediate Input: Structural metal products [QSIC 354]","Intermediate Input: Other fabricated metal products [QSIC 355]","Intermediate Input: Machinery and equipment [QSIC 356-359]","Intermediate Input: Electrical machinery [QSIC 361-366]","Intermediate Input: Radio, television and communication apparatus [QSIC 371-373]","Intermediate Input: Professional equipment [QSIC 374-376]","Intermediate Input: Motor vehicles, parts and accessories [QSIC 381-383]","Intermediate Input: Other transport equipment [QSIC 384-387]","Intermediate Input: Furniture [QSIC 391]","Intermediate Input: Other manufacturing groups [QSIC 392 - 395]","Intermediate Input: Electricity and gas [QSIC 41]","Intermediate Input: Water [QSIC 42]","Intermediate Input: Construction [QSIC 5]","Intermediate Input: Wholesale and retail trade [QSIC 61-63]","Intermediate Input: Catering and accommodation services [QSIC 64]","Intermediate Input: Transport and storage [QSIC 71-74]","Intermediate Input: Communication [QSIC 75]","Intermediate Input: Finance and insurance [QSIC 81-82]","Intermediate Input: Professional business services [QSIC 831-883]","Intermediate Input: Business activities n.e.c. [QSIC 889]","Intermediate Input: National and Provincial government [QSIC 911]","Intermediate Input: Local government [QSIC 913]","Intermediate Input: Education (Private) [QSIC 92]","Intermediate Input: Health and social work (Private) [QSIC 93]","Intermediate Input: Other community, social and personal services [QSIC 94-96, 99]"
"Unit","Date","Output","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rand million: Current prices","2024","Intermediate Output: Textiles [QSIC 311-312]",2079.744665649568,16.604944744586,"",73.85244178528585,9.389945664552316,79.60731182216801,7.214202317923599,40.54374875584046,"",2057.683680599197,253.84465962583417,7.930126361994252,"",62.02131644939888,172.01351251016334,54.42684167266943,346.0010854176183,680.9510765462187,622.087014270658,54.76738857543562,268.01950106150747,9.132304179877067,6.007111005558625,17.55469249905142,104.53257376601272,22.767617721729767,152.1087792816916,53.23776216973643,"","","",26.77691913114391,"","",501.7116810716299,351.5170521711441,50.54502805765871,50.69534674545719,2269.794116078403,59.87490391531899,1259.8857625709393,239.20778615437823,274.67839424018285,1261.2552035514686,359.838600129269,70.13603070393111,32.37624933614218,85.57151232042318,19.773878867261026,89.2161649162235
"Rand million: Current prices","2024","Intermediate Output: Wearing apparel [QSIC 313-314]",1970.074740538616,8.358341812415214,"",4.218922154175076,"",1.862332520282691,1.633028571164628,36.54556112860908,"",3503.509004205412,797.6606526504878,80.56363136181628,"","",96.17585742297877,84.42774602115415,179.68294289409195,80.3934284152671,511.949360505244,0.8320206989473071,151.9033268553055,"",13.97744103237482,8.91943473397948,4.808809966495656,126.45218996707868,809.9311960655126,183.62502213392355,0.5605276041929691,0.8823100761177853,"",130.5587040173775,0.3255037183276417,"",911.7993335200202,253.8834615767326,35.14058340033541,51.375002182530615,3069.444479420232,78.2159413482917,1581.775872312802,224.34735823814225,246.5646590605376,1171.7674705059655,325.5684102298751,63.975903048912414,29.53260639114486,83.15068273373818,19.197161709018715,140.8522824258448
"Rand million: Current prices","2024","Intermediate Output: Leather and leather and fur products [QSIC 315-316]",4661.487346786963,"","",6.92074018562169,"","",6.898905281746374,4.29480465557688,"",14.0803485749278,4.206197553375342,125.4464028444749,"",8.657529542766133,32.53021283606104,8.506379136855669,54.03675495386142,146.2699287372301,136.3479143388066,"",15.42449357409185,"","","",15.62441722746604,6.481159913265295,54.35783079348687,8.013996355556076,"","","",10.765688898308676,"","",21.92976902935501,105.7466329210652,8.68746920162741,5.113849907682006,1096.5842607600778,13.06152523787952,475.6627166529032,28.34547414219114,66.2073264334307,197.45052177297651,42.13460999423334,9.069058530798868,5.477652676557534,10.11767498602087,"",30.781119049785417
"Rand million: Current prices","2024","Intermediate Output: Footwear [QSIC 317]",514.208876477411,"","","","","","",10.8290172499276,"",327.0781661556754,60.12486339147458,504.1649841899936,88.48298711974701,50.47680918712679,42.75042298703681,11.999281135704,37.65092850437188,410.3809109327815,89.34319616595273,27.02046598661862,45.02711760786794,"","",1.219431185462651,41.27981383189653,4.512737833945639,40.98577136444745,6.402376572996821,"","","",49.95925033337109,"","",27.31376763719372,58.91681021479054,8.392296380785094,24.616618823327716,870.6726406124911,17.69570780886089,402.3165597777685,78.18757532667155,135.01724230483137,482.9472569809324,103.5627341864591,33.2009455006806,15.32624642337301,14.302745271872,6.027793743067255,22.298564963405493
"Rand million: Current prices","2024","Intermediate Output: Wood and wood products [QSIC 321-322]",258.1872505616011,9592.498408488966,"",427.850190536574,9.711773219456036,49.34786073300809,44.428071235997024,4.730991816649377,"",106.82508271727832,23.584288904351308,2.052368892217042,"",5071.4556080054745,454.43694690622175,76.17413218464489,939.4953289587464,274.3608863492244,166.6135989249467,8.235433176335496,473.8525468281149,67.1495195679115,114.2295790594647,22.90523164567,68.31798960095819,68.95184965426508,545.4666891889349,47.70703198938338,"","","",70.08458833042474,1.9664594547390093,71.19072786369726,221.75517808536597,685.942914807971,94.5294029088013,37.444052022990185,2936.0361771356597,64.90065977844515,1573.0654817175432,167.37917625496743,224.51442504546608,1228.086541496058,348.26847359950125,76.77902145786133,35.44279192243204,94.7606796051592,21.12301583849328,111.68457049426448
"Rand million: Current prices","2024","Intermediate Output: Paper and paper products [QSIC 323]",61.77202731607724,"","",1530.4317359996,"","",49.56947122621163,409.4862763974882,"",371.76831198232986,93.1504942719719,8.72482214187785,"",311.9806964353169,30295.98470566249,2233.400002949244,1398.261528395311,1220.147260913441,2210.780957497454,"",1911.01766935081,"","","",216.052865988629,58.73638884544084,387.9844910595764,263.73235165143444,"","","",200.8841616563799,7.500395214891,"",1600.686215226378,680.6006046814816,97.72513846996662,423.2908641289773,6686.032132173927,136.1624120450203,7663.795070561084,553.7796893976172,453.4853653065863,4912.065784315327,1752.469439822677,644.4975488952871,297.5134624833668,267.8961761935198,91.83828764981394,136.81342445019274
"Rand million: Current prices","2024","Intermediate Output: Printing , recorded media [QSIC 324-326]",93.61384468716156,"","",22.49221314117393,"","",15.78265344893603,31.20800393914258,"",6.793157437427467,"","","",93.67975472861896,20142.81171124072,2017.757389328616,344.3022858471863,303.2057622923734,723.6518931326272,"",1253.641584674801,"",19.9248978854364,"",100.5212652590619,49.9246191334492,256.6742857608182,243.0578880823835,"","","",21.18991533840089,"","",998.7135070509044,366.4913100564654,52.48278206910339,222.6699667989483,3122.2523024728216,175.5856376634991,2542.575540867199,603.6119679228308,365.7035301887501,3500.083062402463,1030.329441707967,275.2983699881561,127.0834488224108,290.3322107707488,56.86954505407716,139.88450572602412
"Rand million: Current prices","2024","Intermediate Output: Coke, petroleum products and nuclear fuel [QSIC 331-333]","","","",31524.1209078873,"",159.6407397346154,21213.83227068174,391.83599408941353,"","","","","","",64.26544372473333,294.1576911905261,100443.2350386319,3822.946749137425,1805.802398103545,"",343.3609517990069,"","",768.2381672192473,"",196.4345617755756,1555.099617159828,155.21086161858295,"","","","","","","",3388.957095739287,468.659488344877,225.6970972270036,37745.20536220087,"",18705.036534189097,415.3702955797567,1767.9915784498353,4990.995891049876,2039.156030918869,451.523458355885,377.8231670082062,"","",71.70274694516043
"Rand million: Current prices","2024","Intermediate Output: Basic chemicals [QSIC 334]",369.5081608594029,510.3215766194356,"",217.208541882765,102.8145016459867,2950.966845869034,2404.22436485057,540.0232221624545,"",151.28487782350487,5.48595506558768,"","",521.3827930306122,163.7357559167658,159.1593130178067,9525.50800770787,11199.33246800074,11170.17769654139,39.45121120047326,324.3858573160152,"","",27.20430916362663,1013.257891805587,62.04724454934814,486.6537915250906,550.1956929678514,"","","",69.49837976819646,4.011390305618635,"",520.5454486398198,2923.456916213346,527.3251865415351,138.86159232193071,16041.448299813846,136.036713952725,8260.22004919816,351.90344555870087,854.5535166679267,3342.8315629100216,1182.042030041918,280.2909863444979,129.3881442887825,152.5600659435893,68.42584647505007,47.7962934760494
"Rand million: Current prices","2024","Intermediate Output: Other chemical products [QSIC 335-336]",829.2470797930105,306.2517946374006,"",117.9268109294089,82.03755550118201,633.6131788321369,735.8369020146741,5367.640353313234,"",178.95957801318093,32.61729817918371,"","",698.0073575841957,2237.263659382388,409.3286947839308,6419.516657772923,9544.499394472305,9637.172240186554,26.56338237525094,2088.468763472751,700.2668790341036,200.7011018240421,39.60419448238229,1002.470562541117,161.7888727111419,1323.653840775509,148.9760360905337,"","","",168.73977028393057,"","",816.2385005631471,911.6778425092828,239.0069708706915,423.7331649660067,15843.458166557364,410.3602730442728,9422.574903777964,726.9536015829708,787.9340984241658,7240.481899819599,2677.096117281657,576.2007920819071,265.9862601987946,467.5722486047863,155.5785706682748,199.1016191409416
