"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P1D01: West Coast (DC1)","I082045: Business activities n.e.c. [QSIC 889]",1365.621,720.126
"R millions current prices","2019","P1D01: West Coast (DC1)","I092146: National and Provincial government [QSIC 911]",2155.477,1248.298
"R millions current prices","2019","P1D01: West Coast (DC1)","I092147: Local government [QSIC 913]",1117.719,792.101
"R millions current prices","2019","P1D01: West Coast (DC1)","I102248: Education (Private) [QSIC 92]",1804.533,1320.198
"R millions current prices","2019","P1D01: West Coast (DC1)","I102249: Health and social work (Private) [QSIC 93]",1775.38,1054.286
"R millions current prices","2019","P1D01: West Coast (DC1)","I102250: Other community, social and personal services [QSIC 94-96, 99]",1590.212,1106.956
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I010101: Agriculture [QSIC 11]",19875.499,5304.707
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I010102: Forestry [QSIC 12]",228.305,68.988
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I010103: Fishing [QSIC 13]",940.058,487.038
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I020204: Coal [QSIC 21]",0.0,0.0
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I020205: Gold [QSIC 23]",0.0,0.0
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I020206: Metals [QSIC 24]",0.0,0.0
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I020207: Other mining and quarrying [22, 25-29]",432.088,121.195
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030308: Food [QSIC 301-304]",10474.573,2416.543
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030309: Beverages and tobacco [QSIC 305-306]",7109.418,2858.66
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030410: Textiles [QSIC 311-312]",602.565,224.52
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030411: Wearing apparel [QSIC 313-315]",1002.052,323.455
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030412: Leather and leather products [QSIC 316]",153.627,32.684
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030413: Footwear [QSIC 317]",242.407,61.495
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030514: Wood and wood products [QSIC 321-322]",796.577,243.757
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030515: Paper and paper products [QSIC 323]",1114.589,388.55
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030516: Printing , recorded media [QSIC 324-326]",1609.117,545.199
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",3171.78,667.069
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030618: Basic chemicals [QSIC 334]",1098.622,218.837
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030619: Other chemical products [QSIC 335-336]",1493.811,452.007
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030620: Rubber products [QSIC 337]",228.606,48.561
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030621: Plastic products [QSIC 338]",857.539,245.796
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030722: Glass and glass products [QSIC 341]",223.407,72.903
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030723: Non-metallic mineral products [QSIC 342]",881.657,236.753
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",693.43,141.65
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030825: Non-ferrous metal products [QSIC 352]",661.477,100.564
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030826: Structural metal products [QSIC 354]",504.445,147.864
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030827: Other fabricated metal products [QSIC 355]",1130.892,357.337
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030828: Machinery and equipment [QSIC 356-359]",1829.31,581.937
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I030929: Electrical machinery [QSIC 361-366]",433.856,113.671
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031030: Radio, television and communication apparatus [QSIC 371-373]",193.781,13.041
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031031: Professional equipment [QSIC 374-376]",190.011,82.376
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2882.647,478.5
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031133: Other transport equipment [QSIC 384-387]",507.86,191.396
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031234: Furniture [QSIC 391]",297.957,70.848
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I031235: Other manufacturing groups [QSIC 392, 395]",4035.32,1176.087
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I041336: Electricity and gas [QSIC 41]",2713.311,1095.14
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I041337: Water [QSIC 42]",898.156,513.886
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I051438: Construction [QSIC 5]",12646.042,4290.808
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I061539: Wholesale and retail trade [QSIC 61-63]",18934.923,11098.415
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I061640: Catering and accommodation services [QSIC 64]",3841.653,1551.826
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I071741: Transport and storage [QSIC 71-74]",11965.818,4903.418
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I071842: Communication [QSIC 75]",5430.18,1759.698
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I081943: Finance and insurance [QSIC 81-82]",7733.084,3951.767
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I082044: Professional business services [QSIC 831-883]",21267.932,12108.973
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I082045: Business activities n.e.c. [QSIC 889]",4984.403,2629.64
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I092146: National and Provincial government [QSIC 911]",5026.602,2963.19
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I092147: Local government [QSIC 913]",2216.653,1589.865
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I102248: Education (Private) [QSIC 92]",4507.569,3375.612
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I102249: Health and social work (Private) [QSIC 93]",5391.913,3225.611
"R millions current prices","2019","P1D02: Cape Winelands (DC2)","I102250: Other community, social and personal services [QSIC 94-96, 99]",4237.383,2953.338
"R millions current prices","2019","P1D03: Overberg (DC3)","I010101: Agriculture [QSIC 11]",6303.635,1692.811
"R millions current prices","2019","P1D03: Overberg (DC3)","I010102: Forestry [QSIC 12]",125.348,37.393
"R millions current prices","2019","P1D03: Overberg (DC3)","I010103: Fishing [QSIC 13]",780.53,397.679
"R millions current prices","2019","P1D03: Overberg (DC3)","I020204: Coal [QSIC 21]",0.0,0.0
"R millions current prices","2019","P1D03: Overberg (DC3)","I020205: Gold [QSIC 23]",0.0,0.0
"R millions current prices","2019","P1D03: Overberg (DC3)","I020206: Metals [QSIC 24]",0.0,0.0
"R millions current prices","2019","P1D03: Overberg (DC3)","I020207: Other mining and quarrying [22, 25-29]",71.23,20.042
"R millions current prices","2019","P1D03: Overberg (DC3)","I030308: Food [QSIC 301-304]",2666.354,604.464
"R millions current prices","2019","P1D03: Overberg (DC3)","I030309: Beverages and tobacco [QSIC 305-306]",821.07,323.142
"R millions current prices","2019","P1D03: Overberg (DC3)","I030410: Textiles [QSIC 311-312]",123.097,42.977
"R millions current prices","2019","P1D03: Overberg (DC3)","I030411: Wearing apparel [QSIC 313-315]",365.71,117.24
"R millions current prices","2019","P1D03: Overberg (DC3)","I030412: Leather and leather products [QSIC 316]",14.603,2.903
"R millions current prices","2019","P1D03: Overberg (DC3)","I030413: Footwear [QSIC 317]",42.514,10.478
"R millions current prices","2019","P1D03: Overberg (DC3)","I030514: Wood and wood products [QSIC 321-322]",205.479,61.766
"R millions current prices","2019","P1D03: Overberg (DC3)","I030515: Paper and paper products [QSIC 323]",389.818,134.312
"R millions current prices","2019","P1D03: Overberg (DC3)","I030516: Printing , recorded media [QSIC 324-326]",427.151,141.066
"R millions current prices","2019","P1D03: Overberg (DC3)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",661.211,139.112
"R millions current prices","2019","P1D03: Overberg (DC3)","I030618: Basic chemicals [QSIC 334]",351.159,67.659
"R millions current prices","2019","P1D03: Overberg (DC3)","I030619: Other chemical products [QSIC 335-336]",423.168,122.972
"R millions current prices","2019","P1D03: Overberg (DC3)","I030620: Rubber products [QSIC 337]",89.743,18.767
"R millions current prices","2019","P1D03: Overberg (DC3)","I030621: Plastic products [QSIC 338]",265.834,74.052
"R millions current prices","2019","P1D03: Overberg (DC3)","I030722: Glass and glass products [QSIC 341]",101.99,31.922
"R millions current prices","2019","P1D03: Overberg (DC3)","I030723: Non-metallic mineral products [QSIC 342]",280.182,73.265
"R millions current prices","2019","P1D03: Overberg (DC3)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",317.364,64.256
"R millions current prices","2019","P1D03: Overberg (DC3)","I030825: Non-ferrous metal products [QSIC 352]",102.329,15.59
"R millions current prices","2019","P1D03: Overberg (DC3)","I030826: Structural metal products [QSIC 354]",161.64,47.086
"R millions current prices","2019","P1D03: Overberg (DC3)","I030827: Other fabricated metal products [QSIC 355]",467.408,144.476
"R millions current prices","2019","P1D03: Overberg (DC3)","I030828: Machinery and equipment [QSIC 356-359]",505.844,160.253
"R millions current prices","2019","P1D03: Overberg (DC3)","I030929: Electrical machinery [QSIC 361-366]",77.909,19.001
"R millions current prices","2019","P1D03: Overberg (DC3)","I031030: Radio, television and communication apparatus [QSIC 371-373]",29.861,1.944
"R millions current prices","2019","P1D03: Overberg (DC3)","I031031: Professional equipment [QSIC 374-376]",46.477,20.067
"R millions current prices","2019","P1D03: Overberg (DC3)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",927.56,152.623
"R millions current prices","2019","P1D03: Overberg (DC3)","I031133: Other transport equipment [QSIC 384-387]",151.524,53.787
"R millions current prices","2019","P1D03: Overberg (DC3)","I031234: Furniture [QSIC 391]",97.925,22.649
"R millions current prices","2019","P1D03: Overberg (DC3)","I031235: Other manufacturing groups [QSIC 392, 395]",1402.473,408.499
"R millions current prices","2019","P1D03: Overberg (DC3)","I041336: Electricity and gas [QSIC 41]",1096.9,440.206
"R millions current prices","2019","P1D03: Overberg (DC3)","I041337: Water [QSIC 42]",185.354,104.145
"R millions current prices","2019","P1D03: Overberg (DC3)","I051438: Construction [QSIC 5]",4561.225,1519.977
"R millions current prices","2019","P1D03: Overberg (DC3)","I061539: Wholesale and retail trade [QSIC 61-63]",6063.481,3509.667
"R millions current prices","2019","P1D03: Overberg (DC3)","I061640: Catering and accommodation services [QSIC 64]",1231.917,491.795
"R millions current prices","2019","P1D03: Overberg (DC3)","I071741: Transport and storage [QSIC 71-74]",4171.678,1673.539
"R millions current prices","2019","P1D03: Overberg (DC3)","I071842: Communication [QSIC 75]",1872.423,600.312
"R millions current prices","2019","P1D03: Overberg (DC3)","I081943: Finance and insurance [QSIC 81-82]",2058.824,1030.552
"R millions current prices","2019","P1D03: Overberg (DC3)","I082044: Professional business services [QSIC 831-883]",6702.784,3887.739
"R millions current prices","2019","P1D03: Overberg (DC3)","I082045: Business activities n.e.c. [QSIC 889]",1833.708,943.564
"R millions current prices","2019","P1D03: Overberg (DC3)","I092146: National and Provincial government [QSIC 911]",1344.5,776.586
"R millions current prices","2019","P1D03: Overberg (DC3)","I092147: Local government [QSIC 913]",574.954,407.518
