"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-13"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P3D01: Namakwa (DC6)","I030826: Structural metal products [QSIC 354]",10.96,3.208
"R millions current prices","2019","P3D01: Namakwa (DC6)","I030827: Other fabricated metal products [QSIC 355]",140.444,45.922
"R millions current prices","2019","P3D01: Namakwa (DC6)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",53.419,9.573
"R millions current prices","2019","P3D02: Pixley ka Seme (DC7)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1.807,0.336
"R millions current prices","2019","P3D02: Pixley ka Seme (DC7)","I030826: Structural metal products [QSIC 354]",9.931,2.662
"R millions current prices","2019","P3D02: Pixley ka Seme (DC7)","I030827: Other fabricated metal products [QSIC 355]",43.744,13.624
"R millions current prices","2019","P3D02: Pixley ka Seme (DC7)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",15.5,2.506
"R millions current prices","2019","P3D03: Z F Mgcawu (DC8)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",257.855,53.749
"R millions current prices","2019","P3D03: Z F Mgcawu (DC8)","I030826: Structural metal products [QSIC 354]",41.818,12.053
"R millions current prices","2019","P3D03: Z F Mgcawu (DC8)","I030827: Other fabricated metal products [QSIC 355]",66.802,21.285
"R millions current prices","2019","P3D03: Z F Mgcawu (DC8)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",138.213,22.484
"R millions current prices","2019","P3D04: Frances Baard (DC9)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",160.271,32.712
"R millions current prices","2019","P3D04: Frances Baard (DC9)","I030826: Structural metal products [QSIC 354]",73.912,21.984
"R millions current prices","2019","P3D04: Frances Baard (DC9)","I030827: Other fabricated metal products [QSIC 355]",171.405,53.097
"R millions current prices","2019","P3D04: Frances Baard (DC9)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",396.847,67.209
"R millions current prices","2019","P3D05: John Taolo Gaetsewe (DC45)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",186.716,38.269
"R millions current prices","2019","P3D05: John Taolo Gaetsewe (DC45)","I030826: Structural metal products [QSIC 354]",23.951,7.001
"R millions current prices","2019","P3D05: John Taolo Gaetsewe (DC45)","I030827: Other fabricated metal products [QSIC 355]",81.99,26.829
"R millions current prices","2019","P3D05: John Taolo Gaetsewe (DC45)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",42.263,6.642
