Energy balance created with IEA balance builder tool based on data provided by the user 11/11/25 14:10 (Version: August 2022.1).,,,,,,,,,,,,,,,,,,,,,,,,,,Hide -->,,,,,,,,,,,,,,,,<-- Hide,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,Flow name,,, ,Product name,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,UNOFFICIAL,,,,,,,,,,,,,,,,English,Pусский,CHN, ,,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,
Terajoules (TJ),,,,,,,,,,,,,,,,,,,,,,,,,,1,Thousand tonnes of oil equivalent (ktoe),Тысяч тонн нефтяного эквивалента (1000 тнэ),千吨油当量, ,English,Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,
"SUPPLY AND
CONSUMPTION",Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,,,,,,,2,"SUPPLY AND
CONSUMPTION","ПОСТАВКА И
ПОТРЕБЛЕНИЕ",[missing Chinese], ,Pусский,Уголь,Сырая нефть,Нефтепродукты,Природный газ,Атомная энергия,Гидроэнергия,"Геотерм./
солн./
т.д","Биотопливо/
отходы",Электричество,Тепло,Всего,,,,,,,,,
Rail,-,-,350.729,-,-,-,-,-,6018.084,-,6368.813,,,,,,,,,,,,,,,42,Rail,Железные дороги,铁路, ,,,,,,,,,,,,,,,,,,,,,
Pipeline transport,-,-,555.881,-,-,-,-,-,39.492,-,595.373,,,,,,,,,,,,,,,43,Pipeline transport,Транспортировк а по трубопроводам,管道运输, ,,,,,,,,,,,,,,,,,,,,,
Domestic navigation,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,44,Domestic navigation,Внутренний водный транспорт,国内航运, ,,,,,,,,,,,,,,,,,,,,,
Non-specified,-,-,3700.480,-,-,-,-,-,779.364,-,4479.844,,,,,,,,,,,,,,,45,Non-specified,Неспецифицированные,未列明的产业, ,,,,,,,,,,,,,,,,,,,,,
OTHER,247488.864,-,303822.140,1494.342,-,-,-,344250.420,902668.562,-,1799724.328,,,,,,,,,,,,,,,46,OTHER,ДРУГИЕ,其他部门, ,,,,,,,,,,,,,,,,,,,,,
Residential,27133.096,-,165.683,226.325,-,-,-,20999.280,123001.559,-,171525.944,,,,,,,,,,,,,,,47,Residential,Жилищный сектор,居民生活, ,,,,,,,,,,,,,,,,,,,,,
Comm. and public services,26708.844,-,205940.300,1268.016,-,-,-,-,756294.533,-,990211.692,,,,,,,,,,,,,,,48,Comm. and public services,Коммерческие предприятия и государственные учреждения,商业和公共服务, ,,,,,,,,,,,,,,,,,,,,,
Agriculture/forestry,232.706,-,45045.776,-,-,-,-,-,21649.790,-,66928.271,,,,,,,,,,,,,,,49,Agriculture/forestry,Сельское хозяйство,农业/林业, ,,,,,,,,,,,,,,,,,,,,,
Fishing,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,50,Fishing,Рыболовство,渔业, ,,,,,,,,,,,,,,,,,,,,,
Non-specified,193414.219,-,52670.381,-,-,-,-,323251.140,1722.681,-,571058.421,,,,,,,,,,,,,,,51,Non-specified,Неспецифицированные,未列明的产业, ,,,,,,,,,,,,,,,,,,,,,
NON-ENERGY USE,-,-,108338.424,-,-,-,-,-,-,-,108338.424,,,,,,,,,,,,,,,52,NON-ENERGY USE,НЕЭНЕРГЕТИЧЕСКОЕ ИСПОЛЬЗОВАНИЕ,非能源使用, ,,,,,,,,,,,,,,,,,,,,,
in industry/transf./energy,-,-,7209.423,-,-,-,-,-,-,-,7209.423,,,,,,,,,,,,,,,53,in industry/transf./energy,в промышленности/преобраз.-переработке/топл. энергетике,工业/转换/能源部门非能源使用, ,,,,,,,,,,,,,,,,,,,,,
of which: chem./petrochem.,402240.400,-,-,-,-,-,-,-,-,-,402240.400,,,,,,,,,,,,,,,54,of which: chem./petrochem.,в т.ч. химикаты / нефтехимия,备忘项化学/石化产业非能源使用 , ,,,,,,,,,,,,,,,,,,,,,
in transport,-,-,4310.937,-,-,-,-,-,-,-,4310.937,,,,,,,,,,,,,,,55,in transport,в транспорте,交通运输部门非能源用途            , ,,,,,,,,,,,,,,,,,,,,,
in other,-,-,96818.064,-,-,-,-,-,-,-,96818.064,,,,,,,,,,,,,,,56,in other,в других секторах,其他部门的非能源用途             , ,,,,,,,,,,,,,,,,,,,,,
Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,Electricity and heat output,,,,,,,,,,,,,,,57,Electricity and heat output,Производство электроэнерги и тепла,电力和热力产量, ,,,,,,,,,,,,,,,,,,,,,
Electr. Generated - GWh,176590.530,-,7509.785,18.623,9803.000,-10147.131,18254.236,73.402,-,-,202102.446,,,,,,,,,,,,,,,58,Electr. Generated - GWh,Производство электроэнергии ● ГВт-ч,电力产量（单位：吉瓦时）, ,,,,,,,,,,,,,,,,,,,,,
Electricity plants,176590.530,-,7509.785,18.623,9803.000,-10147.131,18254.236,73.402,-,-,202102.446,,,,,,,,,,,,,,,59,Electricity plants,Электростанции,  发电厂, ,,,,,,,,,,,,,,,,,,,,,
CHP plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,60,CHP plants,Тепло-электроцентрали,  热电联产厂, ,,,,,,,,,,,,,,,,,,,,,
Heat generated - TJ,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,61,Heat generated - TJ,Производство тепла ● ТДж,热力产量（单位：太焦耳）, ,,,,,,,,,,,,,,,,,,,,,
CHP plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,62,CHP plants,Тепло-электроцентрали,  热电联产厂, ,,,,,,,,,,,,,,,,,,,,,
Heat plants,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,63,Heat plants,Теплоцентрали,  热力厂, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,70,Energy balance created with IEA balance builder tool based on data provided by the user,"Энергетический баланс, созданный при помощи инструмента МЭА для построения балансов на основе предоставленных пользователем данных",[missing Chinese], ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,71,Version,версия,, ,,,,,,,,,,,,,,,,,,,,,
